variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.conv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,76800000,9600000.0,2907579.0,23260632.0,20272640,0.0,8.0,20,0.3028728125,0.0378591015625,0.0378591015625,0.2639666666666667,11059200000.0,11059200000.0,1382400000.0,552960000.0,552960000.0,69120000.0,0.0,0.0,418691376.0,20934568.8,418691376.0,418691376.0,20934568.8,0.0,0.0,418691376.0,20934568.8
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.conv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,76800000,9600000.0,2041971.0,16335768.0,14805240,0.0,6.0,20,0.2127053125,0.0265881640625,0.0265881640625,0.1927765625,11059200000.0,11059200000.0,1382400000.0,552960000.0,552960000.0,69120000.0,0.0,0.0,294043824.0,14702191.2,294043824.0,294043824.0,14702191.2,0.0,0.0,294043824.0,14702191.2
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.dconv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,76800000,9600000.0,3119010.0,24952080.0,20858408,0.0,8.0,20,0.324896875,0.040612109375,0.040612109375,0.27159385416666665,230400000.0,230400000.0,28800000.0,11520000.0,11520000.0,1440000.0,0.0,0.0,9357030.0,467851.5,9357030.0,9357030.0,467851.5,0.0,0.0,9357030.0,467851.5
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.dconv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,76800000,9600000.0,741615.0,5932920.0,4356816,0.0,5.0,20,0.0772515625,0.0096564453125,0.0096564453125,0.056729375,230400000.0,230400000.0,28800000.0,11520000.0,11520000.0,1440000.0,0.0,0.0,2224845.0,111242.25,2224845.0,2224845.0,111242.25,0.0,0.0,2224845.0,111242.25
middle,qat,fp,DAB_Block_1.DAB_Module_1_0.ca11.conv,conv1d,dense,policy:eca_conv1d,20,"{""dense"": 20}","[[8, 1, 1, 48]]","[[8, 1, 1, 48]]",[8],8,7680,960.0,252.19269466400146,2017.5415573120117,2400,0.0,2.763700008392334,0,,,,0.3125,23040.0,23040.0,2880.0,1152.0,1152.0,144.0,23040.0,1152.0,0.0,0.0,0.0,23040.0,1152.0,0.0,0.0,23040.0,1152.0
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,76800000,9600000.0,3119010.0,24952080.0,20858408,0.0,8.0,20,0.324896875,0.040612109375,0.040612109375,0.27159385416666665,230400000.0,230400000.0,28800000.0,11520000.0,11520000.0,1440000.0,0.0,0.0,9357030.0,467851.5,9357030.0,9357030.0,467851.5,0.0,0.0,9357030.0,467851.5
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,76800000,9600000.0,1903199.0,15225592.0,11554776,0.0,6.0,20,0.19824989583333333,0.024781236979166666,0.024781236979166666,0.1504528125,230400000.0,230400000.0,28800000.0,11520000.0,11520000.0,1440000.0,0.0,0.0,5709597.0,285479.85,5709597.0,5709597.0,285479.85,0.0,0.0,5709597.0,285479.85
middle,qat,fp,DAB_Block_1.DAB_Module_1_0.ca22.conv,conv1d,dense,policy:eca_conv1d,20,"{""dense"": 20}","[[8, 1, 1, 48]]","[[8, 1, 1, 48]]",[8],8,7680,960.0,596.5586910247803,4772.469528198242,4152,0.0,3.661099910736084,0,,,,0.540625,23040.0,23040.0,2880.0,1152.0,1152.0,144.0,23040.0,1152.0,0.0,0.0,0.0,23040.0,1152.0,0.0,0.0,23040.0,1152.0
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.conv1x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 48, 100, 100]]","[[8, 1, 96, 100, 100]]",[8],8,76800000,9600000.0,8084169.0,64673352.0,34671496,0.0,12.0,20,0.8421009375,0.1052626171875,0.1052626171875,0.4514517708333333,7372800000.0,7372800000.0,921600000.0,368640000.0,368640000.0,46080000.0,0.0,0.0,776080224.0,38804011.2,776080224.0,776080224.0,38804011.2,0.0,0.0,776080224.0,38804011.2
middle,qat,int4,downsample_2.conv3x3.conv,conv2d,dense,policy:small_middle_downsample_continuous_conv,20,"{""dense"": 20}","[[8, 1, 96, 100, 100]]","[[8, 1, 96, 50, 50]]",[8],8,153600000,19200000.0,3257660.484375,26061283.875,153600000,-12.893392562866211,10.222188949584961,0,,,,1.0,33177600000.0,33177600000.0,4147200000.0,1658880000.0,1658880000.0,207360000.0,33177600000.0,1658880000.0,0.0,0.0,0.0,33177600000.0,1658880000.0,0.0,0.0,33177600000.0,1658880000.0
