variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
small,fp,fp,transformer1.atten.reduce,linear,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 2500, 288]]","[[1, 2500, 144]]",[1],1,14400000,14400000.0,1962636.0625,1962636.0625,14400000,-0.9489485025405884,8.043004035949707,0,,,,1.0,2073600000.0,2073600000.0,2073600000.0,103680000.0,103680000.0,103680000.0,2073600000.0,103680000.0,0.0,0.0,0.0,2073600000.0,103680000.0,0.0,0.0,2073600000.0,103680000.0
small,fp,fp,transformer1.atten.qkv,linear,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 2500, 144]]","[[1, 2500, 432]]",[1],1,7200000,7200000.0,2053503.09375,2053503.09375,7200000,-8.318265914916992,9.390905380249023,0,,,,1.0,3110400000.0,3110400000.0,3110400000.0,155520000.0,155520000.0,155520000.0,3110400000.0,155520000.0,0.0,0.0,0.0,3110400000.0,155520000.0,0.0,0.0,3110400000.0,155520000.0
small,fp,fp,transformer1.atten.proj,linear,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 2500, 144]]","[[1, 2500, 288]]",[1],1,7200000,7200000.0,2256859.2421875,2256859.2421875,7200000,-11.046064376831055,12.321253776550293,0,,,,1.0,2073600000.0,2073600000.0,2073600000.0,103680000.0,103680000.0,103680000.0,2073600000.0,103680000.0,0.0,0.0,0.0,2073600000.0,103680000.0,0.0,0.0,2073600000.0,103680000.0
small,fp,fp,transformer1.mlp.fc1,linear,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 2500, 288]]","[[1, 2500, 72]]",[1],1,14400000,14400000.0,4.215846390917675e-34,4.215846390917675e-34,14399913,-2.9316565172139498e-40,3.3172938545961395e-40,20,,,,0.9999939583333334,1036800000.0,1036800000.0,1036800000.0,51840000.0,51840000.0,51840000.0,1036800000.0,51840000.0,0.0,0.0,0.0,1036800000.0,51840000.0,0.0,0.0,1036800000.0,51840000.0
small,fp,fp,transformer1.mlp.fc2,linear,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 2500, 72]]","[[1, 2500, 288]]",[1],1,3600000,3600000.0,8.918370432944297e-31,8.918370432944297e-31,2450000,0.0,2.5389000903759306e-36,20,,,,0.6805555555555556,1036800000.0,1036800000.0,1036800000.0,51840000.0,51840000.0,51840000.0,1036800000.0,51840000.0,0.0,0.0,0.0,1036800000.0,51840000.0,0.0,0.0,1036800000.0,51840000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.conv1x1_in.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,1600000,1600000.0,6772735.0,6772735.0,1600000,-51.77709197998047,71.20564270019531,0,,,,1.0,25600000.0,25600000.0,25600000.0,1280000.0,1280000.0,1280000.0,25600000.0,1280000.0,0.0,0.0,0.0,25600000.0,1280000.0,0.0,0.0,25600000.0,1280000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.conv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 16, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,800000,800000.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,38400000.0,38400000.0,38400000.0,1920000.0,1920000.0,1920000.0,38400000.0,1920000.0,0.0,0.0,0.0,38400000.0,1920000.0,0.0,0.0,38400000.0,1920000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.conv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 16, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,800000,800000.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,38400000.0,38400000.0,38400000.0,1920000.0,1920000.0,1920000.0,38400000.0,1920000.0,0.0,0.0,0.0,38400000.0,1920000.0,0.0,0.0,38400000.0,1920000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.dconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 16, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,800000,800000.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,2400000.0,2400000.0,2400000.0,120000.0,120000.0,120000.0,2400000.0,120000.0,0.0,0.0,0.0,2400000.0,120000.0,0.0,0.0,2400000.0,120000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.dconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 16, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,800000,800000.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,2400000.0,2400000.0,2400000.0,120000.0,120000.0,120000.0,2400000.0,120000.0,0.0,0.0,0.0,2400000.0,120000.0,0.0,0.0,2400000.0,120000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.ca11.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 16]]","[[1, 1, 1, 16]]",[1],1,320,320.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,960.0,960.0,960.0,48.0,48.0,48.0,960.0,48.0,0.0,0.0,0.0,960.0,48.0,0.0,0.0,960.0,48.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.ddconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 16, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,800000,800000.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,2400000.0,2400000.0,2400000.0,120000.0,120000.0,120000.0,2400000.0,120000.0,0.0,0.0,0.0,2400000.0,120000.0,0.0,0.0,2400000.0,120000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.ddconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 16, 50, 50]]","[[1, 1, 16, 50, 50]]",[1],1,800000,800000.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,2400000.0,2400000.0,2400000.0,120000.0,120000.0,120000.0,2400000.0,120000.0,0.0,0.0,0.0,2400000.0,120000.0,0.0,0.0,2400000.0,120000.0
small,fp,fp,DAB_Block_4.DAB_Module_4_0.ca22.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 16]]","[[1, 1, 1, 16]]",[1],1,320,320.0,0.0,0.0,0,0.0,0.0,20,,,,0.0,960.0,960.0,960.0,48.0,48.0,48.0,960.0,48.0,0.0,0.0,0.0,960.0,48.0,0.0,0.0,960.0,48.0
