trial,phase,rel_time_s,wall_time_s,power_w,temperature_c,gpu_util_pct,sm_clock_mhz,mem_clock_mhz
5,active,2.4060954209417105,1783675894.157157,141.082,37,42,2257,12481
5,active,2.5068328008055687,1783675894.2578857,140.748,37,42,2257,12481
5,active,2.6069417148828506,1783675894.3579984,141.504,37,43,2257,12481
5,active,2.7070705723017454,1783675894.4581566,141.603,37,43,2257,12481
5,active,2.8072936590760946,1783675894.5583603,141.176,37,43,2257,12481
5,active,2.9074813593178988,1783675894.6585453,141.74,37,43,2257,12481
5,active,3.00766459479928,1783675894.7587273,141.971,37,43,2257,12481
5,active,3.1078072115778923,1783675894.8588665,142.148,37,43,2257,12481
5,active,3.2079169172793627,1783675894.9589715,143.238,37,43,2257,12481
5,active,3.3080216757953167,1783675895.0590756,144.031,37,43,2257,12481
5,active,3.4081245586276054,1783675895.1591766,143.42,37,41,2257,12481
5,active,3.5082294438034296,1783675895.259284,142.705,37,41,2257,12481
5,active,3.60836873203516,1783675895.3594553,142.485,37,42,2257,12481
5,active,3.7086310647428036,1783675895.4596977,142.123,37,42,2257,12481
5,active,3.8088559713214636,1783675895.5599225,144.239,37,43,2257,12481
5,active,3.9090021830052137,1783675895.6600626,145.931,37,43,2257,12481
5,active,4.009164286777377,1783675895.7602253,145.055,37,43,2257,12481
5,active,4.1095844600349665,1783675895.8606412,144.57,37,43,2257,12481
5,active,4.209687454625964,1783675895.960742,143.858,37,43,2257,12481
5,active,4.309790875762701,1783675896.060844,143.234,37,43,2257,12481
5,active,4.409873433411121,1783675896.160926,142.984,37,43,2257,12481
5,active,4.50996932759881,1783675896.261025,143.13,37,43,2257,12481
5,active,4.610080614686012,1783675896.3611505,142.954,37,42,2257,12481
5,active,4.710310570895672,1783675896.4613717,143.543,37,42,2257,12481
5,active,4.810459855943918,1783675896.5615232,143.42,37,43,2257,12481
5,active,4.910605795681477,1783675896.6616642,143.243,37,43,2257,12481
5,active,5.01072465069592,1783675896.7617803,141.837,37,42,2257,12481
5,active,5.110841063782573,1783675896.8618948,142.014,37,42,2257,12481
5,active,5.210941836237907,1783675896.9619966,141.925,37,43,2257,12481
5,active,5.311033496633172,1783675897.0620875,142.273,37,43,2257,12481
5,active,5.4111470356583595,1783675897.1622062,141.66,37,43,2257,12481
5,active,5.511263741180301,1783675897.2623522,141.182,37,43,2257,12481
5,active,5.611468402668834,1783675897.36253,140.836,37,43,2257,12481
5,active,5.711607435718179,1783675897.462669,139.578,37,43,2257,12481
5,active,5.811816167086363,1783675897.5628784,138.509,37,43,2257,12481
5,active,5.911932073533535,1783675897.6629887,138.39,37,43,2257,12481
5,active,6.012063343077898,1783675897.7631178,138.785,37,43,2257,12481
5,active,6.112159991636872,1783675897.863213,140.083,37,43,2257,12481
5,active,6.212242551147938,1783675897.9632947,141.201,37,43,2257,12481
5,active,6.312340401113033,1783675898.0634093,142.504,37,43,2257,12481
5,active,6.412468297407031,1783675898.1635606,144.692,37,43,2257,12481
5,active,6.5127307921648026,1783675898.263792,145.14,37,43,2257,12481
5,active,6.612892312929034,1783675898.363954,145.858,37,43,2257,12481
5,active,6.71305326372385,1783675898.4641132,145.332,37,43,2257,12481
5,active,6.8132189605385065,1783675898.5642784,144.346,37,43,2257,12481
5,active,6.91333962790668,1783675898.6643953,143.518,37,43,2257,12481
5,active,7.013449590653181,1783675898.7645035,143.09,38,43,2257,12481
5,active,7.1135543789714575,1783675898.864608,142.837,37,43,2257,12481
5,active,7.213644916191697,1783675898.9646995,142.475,37,43,2257,12481
5,active,7.313736809417605,1783675899.0647898,142.44,37,43,2257,12481
5,active,7.413886111229658,1783675899.1649578,140.894,37,42,2257,12481
5,active,7.514145039021969,1783675899.2652073,139.485,38,42,2257,12481
5,active,7.6142863761633635,1783675899.3653488,139.303,38,43,2257,12481
5,active,7.714423922821879,1783675899.4654832,140.07,37,43,2257,12481
5,active,7.814576203003526,1783675899.5656354,141.536,37,42,2257,12481
5,active,7.914692208170891,1783675899.6657472,142.059,37,42,2257,12481
5,active,8.014796119183302,1783675899.7658508,142.133,37,42,2257,12481
5,active,8.114903153851628,1783675899.865956,142.346,37,42,2257,12481
5,active,8.214988674968481,1783675899.9660418,142.987,37,43,2257,12481
5,active,8.315115934237838,1783675900.0662153,143.635,37,43,2257,12481
5,active,8.415331918746233,1783675900.1663938,142.23,37,41,2257,12481
5,active,8.515465734526515,1783675900.2665272,143.026,37,41,2257,12481
5,active,8.615598259493709,1783675900.366656,143.989,37,42,2257,12481
5,active,8.715734019875526,1783675900.4667923,143.133,38,42,2257,12481
5,active,8.815859088674188,1783675900.566914,141.696,38,43,2257,12481
5,active,8.915957324206829,1783675900.66701,141.711,37,43,2257,12481
5,active,9.016040259972215,1783675900.767095,141.518,37,43,2257,12481
